No.,Category,Standardized attributes,Description,Sample values
18,Accessories,sunglass_face_type,Face Type refers to the type of face structure that the pair of sunglasses would be suitable for.,heart||long||square||round||diamond||oval
19,Accessories,jewellery_set_finish,"Finish refers to the final appearance given to the base material of a product. Possible values are Glossy, Matte, Brushed, Hammered, etc.",fine finish||shinny||rhodium plated||full finished||glossy||matte||good pearls||matte finish premium quality||classic||bridal set||silver||gold||fine||shimmer||glossy & matte||antique||satin||oxidised||handmade||glossy and matte||gold finish||matte & glossy||handcrafted||brushed||gold plated||glossy antique||golden||copper||shiny
20,Accessories,sunglass_frame,Frame refers to the amount of closure by the frame that has been provided around the lens of the product.,full-frame||half-frame||rim-less
21,Accessories,sunglass_frame_arm_type,"Frame Arm Type refers to the material that holds the lens of the product intact. Possible values are Metal, Plastic, etc.",full metal||tr 90||matte||accetate||polycorbonate||normal||rubber||foldable||foldeble||metal alloy||sheet||alloy||120 mm||medium||poly carbonate||acetate||fibre||foldabe||polycarbonate||plsatic||fiber||metal||full frame||plastic||tr90||composit
22,Accessories,frame_color,"Frame Color refers to the product's frame color. Possible values are Brown, Red, Gold, Steel, etc.",gunmetal||multi||multicolor||blue||black||tortoise||beige||violet||silver||gold||gun||white||transparent||matte black||rose gold||red||grey||green||pink||purple||brown||steel||golden||copper||yellow||orange||clear
23,Accessories,sunglass_frame_material,Frame Material refers to the substance used to make the frame of a particular product.,nylon||wooden||stainless steel||titanium||tr 90||metal||polycarbonate||alloy||aluminium||acetate||plastic||others
24,Accessories,jewellery_set_gemstone,Gemstone refers to the jewels found on the product.,malachite||moonstone||peridot||chalcedony||turquoise||cubic zirconia||agate||garnet||aquamarine||mother of pearl||cat's eye||quartz||beryl||coral||tsavorite||beads||diamond||onyx||carnelian||zircon||swarovski crystal||ruby||topaz||amethyst||sapphire||emerald||spinel||tourmaline||crystal||jade||citrine||tanzanite||alexandrite||lapis lazuli||na||moissanite||opal||pearl||amber
25,Accessories,ideal_for,Ideal For refers to which gender the product would be most suitable for.,women||girls||baby girls||boys||baby boys||men||couple||boys & girls||men & women
26,Accessories,bag_leather_type,Leather Type refers to the type of leather used in the making of the product. This is not applicable for non-leather products.,top grain||split||napa||nubuck
27,Accessories,jewellery_set_earring_length,Earring Length refers to the overall dimension of a earring.,small(smaller than ear lobe)||med(ear lobe size)||big(bigger than ear lobe)||none
28,Accessories,sunglass_lens_material,"Lens Material refers to the substance used to make the lens of a particular product. Possible values are Glass, Plastic, Fiberglass, etc.",cr 39||polycarbonate||acrylic||acetate||plastic||glass||mineral glass||fibre||polyamide||tac resin
29,Accessories,jewellery_set_base_material,Base Material refers to the substance used to make the bezel/case/body of a particular product.,leather||fabric||nickel||stone||plastic||copper||jute||mother of pearl||brass||tungsten||ivory||bronze||metal||alloy||cobalt||acrylic||zinc||silk dori||shell||steel||paper||enamel||cotton dori||rubber||wood||glass||ribbon||bone||crystal||aluminum||porcelain||lac||stainless steel||ceramic||resin||silver||terracotta||sterling silver||silicone||fibre||paddy||oxidised silver
30,Accessories,material,Material refers to the substance used to make a particular product.,"genuine leather||valvet||denier||leatherette||synthetic||p.u.||nylon polyester||tsa ( transportation security administration)||plush||neoprene||leather||polyster||abs||jute||denier, polyester||fabric||pvc||polyester||nylon||canves||canvas||denim||velvet||pvc ||polycarbonate||pu leather||pu||cotton||artificial leather||denier, polyster||metal||soft||polypropylene||soft fabric"
31,Accessories,occasion,Occasion refers to the type of occasion that the product is suited for.,wedding & engagement||workwear||religious||love||sports||party-wedding||casual||formal||everyday
32,Accessories,suitcase_ornamentation_type,Ornamentation Type refers to the decorative elements added to the product to enhance its appearance and make it more attractive,badges||glitter||embossed||engraved||brand logo||plush toys||textured||leather trims||fringes||buckles||travel tags||spiked
33,Accessories,pattern,"Bag Design refers to any pattern, drawing or sketch on the product. Possible values are Animal Print, Graphic Print, Bow on the Handle, etc.",printed||5d embossed||applique||school bag||stylish feel cool look||stylish||applique design||brand logo||graphic printed||embroidered||polka print||self||cartoon||character||graphic print||colorblock||geometric print||fashionable||animal print||plain||self design||new||brand   logo||simpal||backpack||simple||sling bag||textured||casual||bag||modern||floral print||latest & trendy||laptop bag||lunch bag||striped||latest||casual backpack||solid||checkered||elegant design
35,Accessories,sunglass_purpose,Purpose refers to the purpose of the product based on the uses/functions/features that the product comes with.,driving||running||style||biking||eye protection
36,Accessories,shape,"Amethyst Shape is the style or design used when shaping an amethyst. Possible values are Round, Princess, Heart, Oval, Marquise, Pear, Cushion, Emerald, Asscher, Radiant, etc.","feather||rice||multi shape||bar||arrow||anchor||pear, oval, round||none||triangle||stars||pear||hexagon||celestial||fruits||key||diagonal||heart||moon||square||oval , pear||bows||om||butterfly||insects||unshape||floral||guitar||tree||round, pear||flower||pear | round||cross||elephant||natural||leaf||diamond||bees||round pear oval||bird||animal||medallion||irregular||spike||paisley/mango||tassels||coin||round , pear||oval||religious symbols||seed||owl||peacock||rose||round||teardrop||sun||alphabet||infinity||ganesha||button||rectangular||musical notes"
37,Accessories,size,Bag Size refers to the size of the product as mentioned by the brand.,52||56||standard||2-12||60||large||2-4||48||50-52||2-6||2-14||medium quality||28 inches & above||onesize||2-8||up to 22 inches||53||one size||54||s||50||57||f||medium||59||free||2-10||61||l||fits all||one size fits all||23 - 27 inches||free size||m||2-2||51||55||3||58||62||small
38,Accessories,strap_color,"Strap Color refers to the color of the strap on the product. Possible values are Steel, Black, Multi-colored, etc.","multi||multicolor||blue||multicolour||black||beige||violet||silver||gold||white||peach||rose gold||red||grey||brown, black, blue, green||green||multi-colored||pink||purple||brown||maroon||yellow||orange"
39,Accessories,watch_strap_design,"Strap Design refers to design on the product. Possible values are Enamel Droplets, Mesh, etc.",droplet||trendy||etc.||new classic||mesh||new trendy||buckel||buckle||new design||trendy design||plan||stainless steel||simple casual||plain||enamel droplets||needle buckle||simple||chain||casual||round||latest||belt||bracelet||linked||leather belt
